species_richness,Sigma_str,range_str,scaled_cov
198,0_0,0_025,0.017797205032740793
191,0_5,0_025,0.01290603411477972
193,1_0,0_025,0.009652184068769427
194,0_1,0_025,0.017807836833919524
181,10_0,0_025,0.0037984110700108806
177,100_0,0_025,0.002652007255183169
251,0_1,0_1,0.04322130807743734
176,100_0,0_5,0.0026886142403778125
185,10_0,0_2,0.006519973460954832
204,1_0,0_5,0.017196335702650722
212,1_0,0_15,0.023085207623262945
222,0_1,0_05,0.033873775889208285
181,100_0,0_1,0.002744697101693077
221,0_0,0_05,0.036951505834376626
200,1_0,0_05,0.01772417488845198
179,100_0,0_2,0.00287961121671421
180,10_0,0_05,0.004961259530637887
185,10_0,0_5,0.004742215520005843
189,10_0,0_1,0.005685786791039139
175,100_0,0_15,0.002888630194489594
209,0_5,0_05,0.0233980995171374
221,0_5,0_1,0.02944047039389493
247,0_1,0_5,0.04241372796560016
256,0_1,0_2,0.049343599143334825
256,0_1,0_15,0.04637483305187598
227,0_5,0_15,0.03075341025448413
271,0_0,0_2,0.05916321845900736
279,0_0,0_5,0.06083534125647645
226,0_5,0_2,0.03279075030269492
215,1_0,0_2,0.023337621141872447
269,0_0,0_15,0.05598334497108419
213,0_5,0_5,0.024444984733372376
177,100_0,0_05,0.0027346050758812876
249,0_0,0_1,0.053705998365739346
182,10_0,0_15,0.00629264851016065
205,1_0,0_1,0.021937312464731705
