species_richness,M,a,K,lambda_str,range_str,scaled_cov
7,1,25.0,25.0,0_1,0_15,-1.0410410700851514e-18
23,3,2.7777777777777777,25.0,0_1,0_15,-2.489809561033398e-18
27,5,1.0,25.0,0_1,0_15,-1.7280870568924219e-18
34,7,0.5102040816326531,25.0,0_1,0_15,-1.0795666219721187e-18
41,9,0.30864197530864196,25.0,0_1,0_15,-3.674872741906926e-18
103,99,25.0,25.0,0_1,0_15,0.0
40,11,0.2066115702479339,25.0,0_1,0_15,-2.4978908995961885e-18
45,13,0.14792899408284024,25.0,0_1,0_15,-2.2780329564002804e-18
44,15,0.1111111111111111,25.0,0_1,0_15,-5.7937685883701044e-18
46,17,0.08650519031141868,25.0,0_1,0_15,1.1346400085406824e-18
47,19,0.06925207756232687,25.0,0_1,0_15,1.662256054343025e-19
47,21,0.05668934240362812,25.0,0_1,0_15,-2.5226467437890915e-18
