species_richness,sigma_str,lambda_str,neigh_str,nsp_str,case_label
22,0_02,0_0,none,65,sigma_0p02_none
10,0_02,0_1,3,10,sigma_0p02_M3_lam_0p1
10,0_02,10_0,3,10,sigma_0p02_M3_lam_10p0
10,0_02,0_0,3,10,sigma_0p02_M3_lam_0p0
85,0_02,10_0,3,125,sigma_0p02_M3_lam_10p0
116,0_02,0_1,3,125,sigma_0p02_M3_lam_0p1
66,No_HP,0_0,3,125,No_HP_sigma_M3
22,0_02,0_0,none,250,sigma_0p02_none
102,0_02,10_0,3,250,sigma_0p02_M3_lam_10p0
167,0_02,0_1,3,250,sigma_0p02_M3_lam_0p1
23,0_02,0_0,none,500,sigma_0p02_none
240,0_02,0_0,3,250,sigma_0p02_M3_lam_0p0
335,0_02,0_0,3,500,sigma_0p02_M3_lam_0p0
200,0_02,0_1,3,500,sigma_0p02_M3_lam_0p1
25,0_02,0_0,none,750,sigma_0p02_none
23,0_02,0_0,none,1000,sigma_0p02_none
87,No_HP,0_0,3,750,No_HP_sigma_M3
207,0_02,0_1,3,750,sigma_0p02_M3_lam_0p1
10,No_HP,0_0,3,10,No_HP_sigma_M3
10,0_02,0_0,none,10,sigma_0p02_none
49,No_HP,0_0,3,65,No_HP_sigma_M3
90,No_HP,0_0,3,1000,No_HP_sigma_M3
64,0_02,0_1,3,65,sigma_0p02_M3_lam_0p1
65,0_02,0_0,3,65,sigma_0p02_M3_lam_0p0
113,0_02,10_0,3,1000,sigma_0p02_M3_lam_10p0
23,0_02,0_0,none,125,sigma_0p02_none
61,0_02,10_0,3,65,sigma_0p02_M3_lam_10p0
209,0_02,0_1,3,1000,sigma_0p02_M3_lam_0p1
385,0_02,0_0,3,1000,sigma_0p02_M3_lam_0p0
125,0_02,0_0,3,125,sigma_0p02_M3_lam_0p0
71,No_HP,0_0,3,250,No_HP_sigma_M3
83,No_HP,0_0,3,500,No_HP_sigma_M3
111,0_02,10_0,3,500,sigma_0p02_M3_lam_10p0
110,0_02,10_0,3,750,sigma_0p02_M3_lam_10p0
368,0_02,0_0,3,750,sigma_0p02_M3_lam_0p0
